Country,ABRV,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2004,2003,2002,2001,2000,1998,1997,1996
Burundi,BDI,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Belgium,BEL,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
Benin,BEN,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Burkina Faso,BFA,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bangladesh,BGD,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Bulgaria,BGR,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Bahrain,BHR,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Bahamas,BHS,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bosnia and Herzegovina,BIH,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Flawed Democracy
Belarus,BLR,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Belize,BLZ,Flawed Democracy,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bolivia,BOL,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Brazil,BRA,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Barbados,BRB,Democracy,Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Brunei Darussalam,BRN,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bhutan,BTN,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Botswana,BWA,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Central African Republic,CAF,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Canada,CAN,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Switzerland,CHE,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy
Chile,CHL,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
China,CHN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Côte d'Ivoire,CIV,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Cameroon,CMR,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
"Congo, Rep.",COG,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Colombia,COL,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Comoros,COM,Authoritarian regimes,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,No Data,No Data,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Cape Verde,CPV,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Costa Rica,CRI,Flawed Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Cuba,CUB,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes
Cayman Islands,CYM,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Cyprus,CYP,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Hybrid Regime,Flawed Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy
Czech Republic,CZE,Flawed Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Authoritarian regimes,Hybrid Regime,Hybrid Regime
Germany,DEU,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy
Djibouti,DJI,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Denmark,DNK,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Dominican Republic,DOM,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Algeria,DZA,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Ecuador,ECU,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Egypt,EGY,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Eritrea,ERI,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Spain,ESP,Flawed Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy
Estonia,EST,Democracy,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy
Ethiopia,ETH,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Finland,FIN,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy
Fiji,FJI,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,No Data,No Data,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
France,FRA,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
Gabon,GAB,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
United Kingdom,GBR,Democracy,Democracy,Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Flawed Democracy
Georgia,GEO,Hybrid Regime,Flawed Democracy,Hybrid Regime,Flawed Democracy,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Ghana,GHA,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Guinea,GIN,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Gambia,GMB,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Guinea-Bissau,GNB,Authoritarian regimes,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,No Data,No Data,Democracy,Democracy,Democracy,Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Equatorial Guinea,GNQ,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Greece,GRC,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Flawed Democracy,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy
Greenland,GRL,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Guatemala,GTM,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
French Guiana,GUF,Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Guyana,GUY,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Hybrid Regime,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
"Hong Kong SAR, China",HKG,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Flawed Democracy,Flawed Democracy,Flawed Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Democracy,Hybrid Regime,Flawed Democracy,Flawed Democracy,Hybrid Regime
Honduras,HND,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Croatia,HRV,Flawed Democracy,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Hybrid Regime,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
Haiti,HTI,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
